model,year,weight_by,vector_size,window,min_count,similarity_score,analogy_score
w2v_1700_doc_freq_100_5_10.kv,1700,doc_freq,100,5,10,0.22185027505747223,0.04052631578947368
w2v_1700_doc_freq_100_5_5.kv,1700,doc_freq,100,5,5,0.20181489843857917,0.03904136064940085
w2v_1700_doc_freq_100_5_6.kv,1700,doc_freq,100,5,6,0.18486428402705685,0.04392324093816631
w2v_1700_doc_freq_100_5_7.kv,1700,doc_freq,100,5,7,0.18645713198050615,0.0441306266548985
w2v_1700_doc_freq_100_5_8.kv,1700,doc_freq,100,5,8,0.2071483332085126,0.04341670599339311
w2v_1700_doc_freq_100_5_9.kv,1700,doc_freq,100,5,9,0.20763933308404564,0.0495785820525533
w2v_1700_doc_freq_200_5_10.kv,1700,doc_freq,200,5,10,0.21442512881225667,0.037894736842105266
w2v_1700_doc_freq_200_5_5.kv,1700,doc_freq,200,5,5,0.19474607347434442,0.04136064940085041
w2v_1700_doc_freq_200_5_6.kv,1700,doc_freq,200,5,6,0.17381593473505247,0.04307036247334755
w2v_1700_doc_freq_200_5_7.kv,1700,doc_freq,200,5,7,0.1780358744395798,0.04280670785525154
w2v_1700_doc_freq_200_5_8.kv,1700,doc_freq,200,5,8,0.19991921589161363,0.045304388862671074
w2v_1700_doc_freq_200_5_9.kv,1700,doc_freq,200,5,9,0.20082267742263768,0.04164600892414477
w2v_1700_doc_freq_300_5_10.kv,1700,doc_freq,300,5,10,0.2083541912381133,0.04
w2v_1700_doc_freq_300_5_5.kv,1700,doc_freq,300,5,5,0.1893780416882573,0.038268264398917666
w2v_1700_doc_freq_300_5_6.kv,1700,doc_freq,300,5,6,0.17423933030188388,0.044349680170575695
w2v_1700_doc_freq_300_5_7.kv,1700,doc_freq,300,5,7,0.17347085416975677,0.04060017652250662
w2v_1700_doc_freq_300_5_8.kv,1700,doc_freq,300,5,8,0.20145925174214754,0.04672015101462954
w2v_1700_doc_freq_300_5_9.kv,1700,doc_freq,300,5,9,0.2001923498162445,0.04015865146256817
w2v_1700_doc_freq_400_5_10.kv,1700,doc_freq,400,5,10,0.2061250165202417,0.035263157894736843
w2v_1700_doc_freq_400_5_5.kv,1700,doc_freq,400,5,5,0.18800581180897752,0.03672207189795129
w2v_1700_doc_freq_400_5_6.kv,1700,doc_freq,400,5,6,0.1634560793749471,0.04136460554371002
w2v_1700_doc_freq_400_5_7.kv,1700,doc_freq,400,5,7,0.17360674383441338,0.04280670785525154
w2v_1700_doc_freq_400_5_8.kv,1700,doc_freq,400,5,8,0.19114843966990855,0.04294478527607362
w2v_1700_doc_freq_400_5_9.kv,1700,doc_freq,400,5,9,0.19533308166836016,0.04313336638572137
w2v_1700_doc_freq_500_5_10.kv,1700,doc_freq,500,5,10,0.20941302152549518,0.04421052631578947
w2v_1700_doc_freq_500_5_5.kv,1700,doc_freq,500,5,5,0.19566888049571735,0.04252029377657519
w2v_1700_doc_freq_500_5_6.kv,1700,doc_freq,500,5,6,0.16906707183684966,0.04093816631130064
w2v_1700_doc_freq_500_5_7.kv,1700,doc_freq,500,5,7,0.16590291968409862,0.043689320388349516
w2v_1700_doc_freq_500_5_8.kv,1700,doc_freq,500,5,8,0.18930514691338118,0.03964134025483719
w2v_1700_doc_freq_500_5_9.kv,1700,doc_freq,500,5,9,0.1927252692712223,0.04164600892414477
w2v_1700_freq_100_5_10.kv,1700,freq,100,5,10,0.23099890442524204,0.04736842105263158
w2v_1700_freq_100_5_5.kv,1700,freq,100,5,5,0.20585487682515577,0.04213374565133359
w2v_1700_freq_100_5_6.kv,1700,freq,100,5,6,0.1817547046332057,0.04477611940298507
w2v_1700_freq_100_5_7.kv,1700,freq,100,5,7,0.1763964617907083,0.04854368932038835
w2v_1700_freq_100_5_8.kv,1700,freq,100,5,8,0.2224437922384952,0.04294478527607362
w2v_1700_freq_100_5_9.kv,1700,freq,100,5,9,0.2122140757581943,0.05453644025780863
w2v_1700_freq_200_5_10.kv,1700,freq,200,5,10,0.22340830171502146,0.049473684210526316
w2v_1700_freq_200_5_5.kv,1700,freq,200,5,5,0.19638079638110426,0.041747197526091996
w2v_1700_freq_200_5_6.kv,1700,freq,200,5,6,0.16418952472418935,0.04307036247334755
w2v_1700_freq_200_5_7.kv,1700,freq,200,5,7,0.16883302409577758,0.04457193292144748
