model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y1475_wbnone_vs200_w5_mc20_sg1_e10.kv,1475,none,200,5,20,1,10,-0.03571428571428572,0.0
w2v_y1472_wbnone_vs200_w5_mc20_sg1_e10.kv,1472,none,200,5,20,1,10,0.9999999999999999,0.0
w2v_y1490_wbnone_vs200_w5_mc20_sg1_e10.kv,1490,none,200,5,20,1,10,0.39999999999999997,0.0
w2v_y1487_wbnone_vs200_w5_mc20_sg1_e10.kv,1487,none,200,5,20,1,10,-0.9999999999999999,0.0
w2v_y1559_wbnone_vs200_w5_mc20_sg1_e10.kv,1559,none,200,5,20,1,10,0.39999999999999997,0.0
w2v_y1491_wbnone_vs200_w5_mc20_sg1_e10.kv,1491,none,200,5,20,1,10,-0.5,0.0
w2v_y1508_wbnone_vs200_w5_mc20_sg1_e10.kv,1508,none,200,5,20,1,10,0.3081744385810045,0.0
w2v_y1500_wbnone_vs200_w5_mc20_sg1_e10.kv,1500,none,200,5,20,1,10,-0.06164459813393278,0.0
w2v_y1494_wbnone_vs200_w5_mc20_sg1_e10.kv,1494,none,200,5,20,1,10,0.23100410659842457,0.3333333333333333
w2v_y1586_wbnone_vs200_w5_mc20_sg1_e10.kv,1586,none,200,5,20,1,10,0.11989635157912637,0.02857142857142857
w2v_y1588_wbnone_vs200_w5_mc20_sg1_e10.kv,1588,none,200,5,20,1,10,0.326362689414732,0.05
w2v_y1589_wbnone_vs200_w5_mc20_sg1_e10.kv,1589,none,200,5,20,1,10,-0.09009374626955591,0.0
w2v_y1558_wbnone_vs200_w5_mc20_sg1_e10.kv,1558,none,200,5,20,1,10,0.9999999999999999,0.0
w2v_y1585_wbnone_vs200_w5_mc20_sg1_e10.kv,1585,none,200,5,20,1,10,0.5,0.0
w2v_y1590_wbnone_vs200_w5_mc20_sg1_e10.kv,1590,none,200,5,20,1,10,-0.18410202992625907,0.0
w2v_y1591_wbnone_vs200_w5_mc20_sg1_e10.kv,1591,none,200,5,20,1,10,-0.5,0.0
w2v_y1570_wbnone_vs200_w5_mc20_sg1_e10.kv,1570,none,200,5,20,1,10,-0.5,0.0
w2v_y1537_wbnone_vs200_w5_mc20_sg1_e10.kv,1537,none,200,5,20,1,10,-0.9999999999999999,0.0
w2v_y1594_wbnone_vs200_w5_mc20_sg1_e10.kv,1594,none,200,5,20,1,10,0.045454545454545456,0.0
w2v_y1507_wbnone_vs200_w5_mc20_sg1_e10.kv,1507,none,200,5,20,1,10,0.9999999999999999,0.0
w2v_y1480_wbnone_vs200_w5_mc20_sg1_e10.kv,1480,none,200,5,20,1,10,0.35899963312973504,0.0
w2v_y1584_wbnone_vs200_w5_mc20_sg1_e10.kv,1584,none,200,5,20,1,10,0.5,0.14285714285714285
w2v_y1539_wbnone_vs200_w5_mc20_sg1_e10.kv,1539,none,200,5,20,1,10,-0.24604569420035152,0.0
w2v_y1577_wbnone_vs200_w5_mc20_sg1_e10.kv,1577,none,200,5,20,1,10,-0.5,0.0
w2v_y1568_wbnone_vs200_w5_mc20_sg1_e10.kv,1568,none,200,5,20,1,10,-0.5,0.0
w2v_y1575_wbnone_vs200_w5_mc20_sg1_e10.kv,1575,none,200,5,20,1,10,0.0,0.0
w2v_y1545_wbnone_vs200_w5_mc20_sg1_e10.kv,1545,none,200,5,20,1,10,0.06686960980480709,0.0
w2v_y1542_wbnone_vs200_w5_mc20_sg1_e10.kv,1542,none,200,5,20,1,10,1.0,0.0
w2v_y1595_wbnone_vs200_w5_mc20_sg1_e10.kv,1595,none,200,5,20,1,10,0.0,0.0
w2v_y1520_wbnone_vs200_w5_mc20_sg1_e10.kv,1520,none,200,5,20,1,10,-0.5666666666666667,0.0
w2v_y1583_wbnone_vs200_w5_mc20_sg1_e10.kv,1583,none,200,5,20,1,10,0.9999999999999999,0.0
w2v_y1529_wbnone_vs200_w5_mc20_sg1_e10.kv,1529,none,200,5,20,1,10,0.309090909090909,0.0
w2v_y1572_wbnone_vs200_w5_mc20_sg1_e10.kv,1572,none,200,5,20,1,10,0.33333333333333326,0.0
w2v_y1478_wbnone_vs200_w5_mc20_sg1_e10.kv,1478,none,200,5,20,1,10,0.1032967032967033,0.0
w2v_y1481_wbnone_vs200_w5_mc20_sg1_e10.kv,1481,none,200,5,20,1,10,0.14301438797118127,0.0
w2v_y1561_wbnone_vs200_w5_mc20_sg1_e10.kv,1561,none,200,5,20,1,10,0.09473324213406292,0.0
w2v_y1582_wbnone_vs200_w5_mc20_sg1_e10.kv,1582,none,200,5,20,1,10,-0.11666666666666665,0.0
w2v_y1566_wbnone_vs200_w5_mc20_sg1_e10.kv,1566,none,200,5,20,1,10,-0.9999999999999999,0.0
w2v_y1489_wbnone_vs200_w5_mc20_sg1_e10.kv,1489,none,200,5,20,1,10,-0.33516483516483514,0.0
w2v_y1598_wbnone_vs200_w5_mc20_sg1_e10.kv,1598,none,200,5,20,1,10,0.2608969660436018,0.0
w2v_y1574_wbnone_vs200_w5_mc20_sg1_e10.kv,1574,none,200,5,20,1,10,0.9999999999999999,0.0
w2v_y1548_wbnone_vs200_w5_mc20_sg1_e10.kv,1548,none,200,5,20,1,10,0.21428571428571433,0.0
w2v_y1549_wbnone_vs200_w5_mc20_sg1_e10.kv,1549,none,200,5,20,1,10,0.6121212121212121,0.0
w2v_y1579_wbnone_vs200_w5_mc20_sg1_e10.kv,1579,none,200,5,20,1,10,0.21366057284319562,0.0
w2v_y1610_wbnone_vs200_w5_mc20_sg1_e10.kv,1610,none,200,5,20,1,10,1.0,0.0
w2v_y1485_wbnone_vs200_w5_mc20_sg1_e10.kv,1485,none,200,5,20,1,10,-0.19590028045862823,0.0
w2v_y1587_wbnone_vs200_w5_mc20_sg1_e10.kv,1587,none,200,5,20,1,10,-0.5,0.0
w2v_y1525_wbnone_vs200_w5_mc20_sg1_e10.kv,1525,none,200,5,20,1,10,-0.5,0.0
w2v_y1477_wbnone_vs200_w5_mc20_sg1_e10.kv,1477,none,200,5,20,1,10,0.21978021978021978,0.16129032258064516
w2v_y1553_wbnone_vs200_w5_mc20_sg1_e10.kv,1553,none,200,5,20,1,10,0.2961038961038961,0.0
w2v_y1531_wbnone_vs200_w5_mc20_sg1_e10.kv,1531,none,200,5,20,1,10,0.5,0.0
w2v_y1552_wbnone_vs200_w5_mc20_sg1_e10.kv,1552,none,200,5,20,1,10,-0.39999999999999997,0.0
w2v_y1597_wbnone_vs200_w5_mc20_sg1_e10.kv,1597,none,200,5,20,1,10,-0.22527472527472525,0.0
w2v_y1596_wbnone_vs200_w5_mc20_sg1_e10.kv,1596,none,200,5,20,1,10,0.04901960784313726,0.0
