model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e6.kv,2019,none,100,5,1,1,6,0.6574486122364012,0.31523642732049034
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e5.kv,2019,none,100,5,1,1,5,0.6582468574705158,0.29859894921190894
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e8.kv,2019,none,100,5,1,1,8,0.6448907520578355,0.32302977232924696
w2v_y2019_wbnone_vs400_w5_mc1_sg1_e15.kv,2019,none,400,5,1,1,15,0.6821413196056579,0.36514886164623467
w2v_y2019_wbnone_vs400_w5_mc1_sg1_e10.kv,2019,none,400,5,1,1,10,0.661232496289601,0.3532399299474606
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e5.kv,2019,none,500,5,1,1,5,0.6742367484121939,0.3073555166374781
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e14.kv,2019,none,500,5,1,1,14,0.6666748250448327,0.3498248686514886
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e15.kv,2019,none,500,5,1,1,15,0.6694805920200234,0.3428196147110333
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e6.kv,2019,none,500,5,1,1,6,0.6749616421713817,0.3126094570928196
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e9.kv,2019,none,100,5,1,1,9,0.661200642461844,0.325569176882662
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e11.kv,2019,none,100,5,1,1,11,0.6603027444271315,0.3294220665499124
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e12.kv,2019,none,100,5,1,1,12,0.6499958393705745,0.33029772329246937
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e10.kv,2019,none,100,5,1,1,10,0.6592381252113603,0.32697022767075307
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e15.kv,2019,none,100,5,1,1,15,0.663976309030989,0.3455341506129597
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e7.kv,2019,none,100,5,1,1,7,0.6498881500537994,0.31926444833625217
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e7.kv,2019,none,500,5,1,1,7,0.6761596675556952,0.32626970227670754
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e13.kv,2019,none,100,5,1,1,13,0.6460941838257592,0.34141856392294223
w2v_y2019_wbnone_vs100_w5_mc1_sg1_e14.kv,2019,none,100,5,1,1,14,0.6513388142830304,0.34098073555166375
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e8.kv,2019,none,500,5,1,1,8,0.658766308652518,0.33774080560420316
w2v_y2019_wbnone_vs500_w5_mc1_sg1_e9.kv,2019,none,500,5,1,1,9,0.6565312804443876,0.3331873905429072
